angle  sine  cos
-----------------
 0 0.000 1.000
 1 0.017 1.000
 2 0.035 0.999
 3 0.052 0.999
 4 0.070 0.998
 5 0.087 0.996
 6 0.105 0.995
 7 0.122 0.993
 8 0.139 0.990
 9 0.156 0.988
10 0.174 0.985
11 0.191 0.982
12 0.208 0.978
13 0.225 0.974
14 0.242 0.970
15 0.259 0.966
16 0.276 0.961
17 0.292 0.956
18 0.309 0.951
19 0.326 0.946
20 0.342 0.940
21 0.358 0.934
22 0.375 0.927
23 0.391 0.921
24 0.407 0.914
25 0.423 0.906
26 0.438 0.899
27 0.454 0.891
28 0.469 0.883
29 0.485 0.875
30 0.500 0.866
31 0.515 0.857
32 0.530 0.848
33 0.545 0.839
34 0.559 0.829
35 0.574 0.819
36 0.588 0.809
37 0.602 0.799
38 0.616 0.788
39 0.629 0.777
40 0.643 0.766
41 0.656 0.755
42 0.669 0.743
43 0.682 0.731
44 0.695 0.719
45 0.707 0.707
46 0.719 0.695
47 0.731 0.682
48 0.743 0.669
49 0.755 0.656
50 0.766 0.643
51 0.777 0.629
52 0.788 0.616
53 0.799 0.602
54 0.809 0.588
55 0.819 0.574
56 0.829 0.559
57 0.839 0.545
58 0.848 0.530
59 0.857 0.515
60 0.866 0.500
61 0.875 0.485
62 0.883 0.469
63 0.891 0.454
64 0.899 0.438
65 0.906 0.423
66 0.914 0.407
67 0.921 0.391
68 0.927 0.375
69 0.934 0.358
70 0.940 0.342
71 0.946 0.326
72 0.951 0.309
73 0.956 0.292
74 0.961 0.276
75 0.966 0.259
76 0.970 0.242
77 0.974 0.225
78 0.978 0.208
79 0.982 0.191
80 0.985 0.174
81 0.988 0.156
82 0.990 0.139
83 0.993 0.122
84 0.995 0.105
85 0.996 0.087
86 0.998 0.070
87 0.999 0.052
88 0.999 0.035
89 1.000 0.017
90 1.000 0.000
File was closed!
